game,result,termination,plies,total_nodes
1,1/2-1/2,threefold-repetition,43,186030
2,1/2-1/2,threefold-repetition,42,172135
3,1/2-1/2,threefold-repetition,42,172160
4,1/2-1/2,threefold-repetition,42,172149
5,1/2-1/2,threefold-repetition,42,172140
6,1/2-1/2,threefold-repetition,53,164058
7,1/2-1/2,threefold-repetition,155,567884
8,1-0,goal-row,41,158432
9,1/2-1/2,threefold-repetition,122,544542
10,1/2-1/2,threefold-repetition,80,353977
11,1/2-1/2,threefold-repetition,111,396124
12,1/2-1/2,threefold-repetition,43,179306
13,1/2-1/2,threefold-repetition,53,204860
14,1/2-1/2,threefold-repetition,75,244782
15,1/2-1/2,threefold-repetition,51,204023
16,1/2-1/2,threefold-repetition,87,343161
17,1-0,goal-row,79,361355
18,1-0,goal-row,83,323945
19,1/2-1/2,threefold-repetition,38,139671
20,1/2-1/2,threefold-repetition,38,139664
